prefix_36	short_name_36	name_36
00:50:C2:05:10:00/36	JsrUltra	JSR Ultrasonics
00:50:C2:05:20:00/36	MayoFoun	Mayo Foundation
00:50:C2:05:40:00/36	Optionex	Optionexist Limited
00:50:C2:05:50:00/36	SanCastl	San Castle Technologies, Inc.
00:50:C2:05:60:00/36	Base2	Base 2
00:50:C2:05:70:00/36	LiteF	Lite F GmBH
00:50:C2:05:80:00/36	VisionRe	Vision Research, Inc.
00:50:C2:05:90:00/36	AustcoCo	Austco Communication Systems Pty, Ltd
00:50:C2:05:A0:00/36	Sonifex	Sonifex Ltd
00:50:C2:05:B0:00/36	Radiomet	Radiometer Medical A/S
00:50:C2:05:C0:00/36	NortelNe	Nortel Networks PLC (UK)
00:50:C2:05:D0:00/36	IgnitusC	Ignitus Communications, LLC
00:50:C2:05:E0:00/36	Diva	DIVA Systems
00:50:C2:05:F0:00/36	MaldenEl	Malden Electronics Ltd
00:50:C2:06:00:00/36	Private
00:50:C2:06:10:00/36	SimpleNe	Simple Network Magic Corporation
00:50:C2:06:20:00/36	Private
00:50:C2:06:30:00/36	Ticketma	Ticketmaster Corp
00:50:C2:06:40:00/36	Private
00:50:C2:06:50:00/36	CleverDe	Clever Devices
00:50:C2:06:60:00/36	Private
00:50:C2:06:70:00/36	Riverlin	Riverlink Computers, Ltd.
00:50:C2:06:80:00/36	Seabridg	Seabridge
00:50:C2:06:90:00/36	EcElettr	EC Elettronica S.R.L.
00:50:C2:06:A0:00/36	Unimark
00:50:C2:06:B0:00/36	Ncast	NCast Corporation
00:50:C2:06:C0:00/36	WavecomE	WaveCom Electronics, Inc.
00:50:C2:06:D0:00/36	Advanced	Advanced Signal Corp.
00:50:C2:06:E0:00/36	AvtronMa	Avtron Manufacturing Inc.
00:50:C2:06:F0:00/36	DigitalS	Digital Services Group
00:50:C2:07:00:00/36	Katchall	Katchall Technologies Group
00:50:C2:07:10:00/36	Netvisio	NetVision Telecom
00:50:C2:07:20:00/36	Neuberge	Neuberger Gebaeudeautomation GmbH & Co.
